kommune_kode,kommune_navn,indicator_id,ratio,raw_value,unit,data_year,source,category,dimension,reference
157,Gentofte,mentalt_helbred,132.74,12.0,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
350,Lejre,mentalt_helbred,113.78,14.0,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
163,Herlev,mentalt_helbred,98.94,16.1,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
173,Lyngby-Taarbæk,mentalt_helbred,123.48,12.9,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
210,Fredensborg,mentalt_helbred,107.63,14.8,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
183,Ishøj,mentalt_helbred,84.28,18.9,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
710,Favrskov,mentalt_helbred,116.27,13.7,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
530,Billund,mentalt_helbred,106.91,14.9,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
840,Rebild,mentalt_helbred,131.65,12.1,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
187,Vallensbæk,mentalt_helbred,114.6,13.9,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
253,Greve,mentalt_helbred,96.54,16.5,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
147,Frederiksberg,mentalt_helbred,104.11,15.3,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
259,Køge,mentalt_helbred,104.11,15.3,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
159,Gladsaxe,mentalt_helbred,93.7,17.0,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
217,Helsingør,mentalt_helbred,106.2,15.0,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
250,Frederikssund,mentalt_helbred,104.8,15.2,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
661,Holstebro,mentalt_helbred,117.13,13.6,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
825,Læsø,mentalt_helbred,139.73,11.4,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
657,Herning,mentalt_helbred,106.91,14.9,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
260,Halsnæs,mentalt_helbred,100.18,15.9,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
773,Morsø,mentalt_helbred,132.74,12.0,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
219,Hillerød,mentalt_helbred,93.7,17.0,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
340,Sorø,mentalt_helbred,109.86,14.5,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
492,Ærø,mentalt_helbred,129.51,12.3,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
561,Esbjerg,mentalt_helbred,85.64,18.6,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
740,Silkeborg,mentalt_helbred,121.6,13.1,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
615,Horsens,mentalt_helbred,104.8,15.2,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
563,Fanø,mentalt_helbred,148.87,10.7,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
316,Holbæk,mentalt_helbred,97.13,16.4,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
766,Hedensted,mentalt_helbred,117.99,13.5,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
607,Fredericia,mentalt_helbred,89.49,17.8,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
410,Middelfart,mentalt_helbred,117.99,13.5,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
329,Ringsted,mentalt_helbred,110.62,14.4,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
370,Næstved,mentalt_helbred,87.52,18.2,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
851,Aalborg,mentalt_helbred,92.61,17.2,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
810,Brønderslev,mentalt_helbred,108.36,14.7,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
727,Odder,mentalt_helbred,102.11,15.6,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
336,Stevns,mentalt_helbred,102.11,15.6,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
751,Aarhus,mentalt_helbred,87.52,18.2,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
813,Frederikshavn,mentalt_helbred,108.36,14.7,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
161,Glostrup,mentalt_helbred,93.15,17.1,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
270,Gribskov,mentalt_helbred,109.1,14.6,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
860,Hjørring,mentalt_helbred,107.63,14.8,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
165,Albertslund,mentalt_helbred,77.33,20.6,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
479,Svendborg,mentalt_helbred,117.99,13.5,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
791,Viborg,mentalt_helbred,112.18,14.2,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
480,Nordfyns,mentalt_helbred,104.8,15.2,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
706,Syddjurs,mentalt_helbred,106.91,14.9,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
440,Kerteminde,mentalt_helbred,101.46,15.7,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
