kommune_kode,indicator_id,aar,raw_value
326,fysisk_aktivitet,2021,58.8
326,fysisk_aktivitet,2025,60.6
329,fysisk_aktivitet,2021,59.9
329,fysisk_aktivitet,2025,59.7
330,fysisk_aktivitet,2021,62.6
330,fysisk_aktivitet,2025,55.6
336,fysisk_aktivitet,2021,60.4
336,fysisk_aktivitet,2025,57.3
340,fysisk_aktivitet,2021,58.0
340,fysisk_aktivitet,2025,56.2
350,fysisk_aktivitet,2021,56.4
350,fysisk_aktivitet,2025,53.4
360,fysisk_aktivitet,2021,64.5
360,fysisk_aktivitet,2025,60.6
370,fysisk_aktivitet,2021,63.1
370,fysisk_aktivitet,2025,55.0
376,fysisk_aktivitet,2021,62.2
376,fysisk_aktivitet,2025,61.0
390,fysisk_aktivitet,2021,59.1
390,fysisk_aktivitet,2025,60.4
400,fysisk_aktivitet,2021,58.0
400,fysisk_aktivitet,2025,54.8
410,fysisk_aktivitet,2021,59.3
410,fysisk_aktivitet,2025,53.1
420,fysisk_aktivitet,2021,62.0
420,fysisk_aktivitet,2025,57.2
430,fysisk_aktivitet,2021,62.8
430,fysisk_aktivitet,2025,56.0
440,fysisk_aktivitet,2021,58.5
440,fysisk_aktivitet,2025,58.2
450,fysisk_aktivitet,2021,62.3
450,fysisk_aktivitet,2025,52.4
461,fysisk_aktivitet,2021,57.2
461,fysisk_aktivitet,2025,49.1
479,fysisk_aktivitet,2021,60.2
479,fysisk_aktivitet,2025,53.2
480,fysisk_aktivitet,2021,62.8
480,fysisk_aktivitet,2025,55.1
482,fysisk_aktivitet,2021,65.2
482,fysisk_aktivitet,2025,59.1
492,fysisk_aktivitet,2021,67.2
492,fysisk_aktivitet,2025,58.4
510,fysisk_aktivitet,2021,61.7
510,fysisk_aktivitet,2025,54.0
530,fysisk_aktivitet,2021,65.5
530,fysisk_aktivitet,2025,52.8
540,fysisk_aktivitet,2021,62.9
540,fysisk_aktivitet,2025,55.3
550,fysisk_aktivitet,2021,60.6
550,fysisk_aktivitet,2025,56.4
561,fysisk_aktivitet,2021,59.1
561,fysisk_aktivitet,2025,53.6
563,fysisk_aktivitet,2021,56.9
563,fysisk_aktivitet,2025,50.3
573,fysisk_aktivitet,2021,61.5
573,fysisk_aktivitet,2025,55.7
575,fysisk_aktivitet,2021,63.9
575,fysisk_aktivitet,2025,58.6
580,fysisk_aktivitet,2021,61.3
580,fysisk_aktivitet,2025,55.1
607,fysisk_aktivitet,2021,60.9
607,fysisk_aktivitet,2025,53.9
615,fysisk_aktivitet,2021,63.5
615,fysisk_aktivitet,2025,53.9
621,fysisk_aktivitet,2021,60.7
621,fysisk_aktivitet,2025,56.4
630,fysisk_aktivitet,2021,59.0
630,fysisk_aktivitet,2025,53.0
657,fysisk_aktivitet,2021,62.2
657,fysisk_aktivitet,2025,53.1
661,fysisk_aktivitet,2021,63.1
661,fysisk_aktivitet,2025,52.4
665,fysisk_aktivitet,2021,66.5
665,fysisk_aktivitet,2025,56.7
671,fysisk_aktivitet,2021,65.3
671,fysisk_aktivitet,2025,56.7
706,fysisk_aktivitet,2021,60.2
706,fysisk_aktivitet,2025,51.7
707,fysisk_aktivitet,2021,64.5
707,fysisk_aktivitet,2025,61.2
710,fysisk_aktivitet,2021,58.3
710,fysisk_aktivitet,2025,52.7
727,fysisk_aktivitet,2021,59.7
727,fysisk_aktivitet,2025,52.2
730,fysisk_aktivitet,2021,62.9
730,fysisk_aktivitet,2025,56.0
740,fysisk_aktivitet,2021,58.7
740,fysisk_aktivitet,2025,49.3
741,fysisk_aktivitet,2021,65.1
741,fysisk_aktivitet,2025,59.1
746,fysisk_aktivitet,2021,58.2
746,fysisk_aktivitet,2025,49.3
751,fysisk_aktivitet,2021,53.9
751,fysisk_aktivitet,2025,43.4
756,fysisk_aktivitet,2021,59.5
756,fysisk_aktivitet,2025,54.8
760,fysisk_aktivitet,2021,62.6
760,fysisk_aktivitet,2025,56.8
766,fysisk_aktivitet,2021,64.5
766,fysisk_aktivitet,2025,56.4
773,fysisk_aktivitet,2021,63.4
773,fysisk_aktivitet,2025,63.6
779,fysisk_aktivitet,2021,65.8
779,fysisk_aktivitet,2025,53.8
787,fysisk_aktivitet,2021,63.2
787,fysisk_aktivitet,2025,59.8
791,fysisk_aktivitet,2021,58.0
791,fysisk_aktivitet,2025,52.5
810,fysisk_aktivitet,2021,61.8
810,fysisk_aktivitet,2025,59.4
813,fysisk_aktivitet,2021,62.1
813,fysisk_aktivitet,2025,55.8
820,fysisk_aktivitet,2021,61.7
820,fysisk_aktivitet,2025,62.1
825,fysisk_aktivitet,2021,61.7
825,fysisk_aktivitet,2025,58.1
840,fysisk_aktivitet,2021,60.0
840,fysisk_aktivitet,2025,52.5
846,fysisk_aktivitet,2021,60.6
846,fysisk_aktivitet,2025,57.0
849,fysisk_aktivitet,2021,62.8
849,fysisk_aktivitet,2025,60.0
851,fysisk_aktivitet,2021,57.9
851,fysisk_aktivitet,2025,51.3
860,fysisk_aktivitet,2021,61.3
860,fysisk_aktivitet,2025,58.3
101,kost,2010,8.3
101,kost,2013,9.3
101,kost,2017,10.4
101,kost,2021,12.5
101,kost,2025,11.8
147,kost,2010,7.5
147,kost,2013,5.8
147,kost,2017,8.5
147,kost,2021,11.9
147,kost,2025,11.8
151,kost,2010,11.7
151,kost,2013,11.6
151,kost,2017,16.6
151,kost,2021,16.4
