kommune_kode,selvvurderet_helbred_pct,selvvurderet_helbred_ratio,mentalt_helbred_pct,mentalt_helbred_ratio,rygning_pct,rygning_ratio,alkohol_pct,alkohol_ratio,fysisk_aktivitet_pct,fysisk_aktivitet_ratio,kost_pct,kost_ratio,svaer_overvaegt_pct,svaer_overvaegt_ratio,ensomhed_pct,ensomhed_ratio,social_stoette_pct,social_stoette_ratio,selvvurderet_helbred_ref,mentalt_helbred_ref,rygning_ref,alkohol_ref,fysisk_aktivitet_ref,kost_ref,svaer_overvaegt_ref,ensomhed_ref,social_stoette_ref
561,79.2,96.5,18.6,85.64,13.2,79.32,16.4,87.66,53.6,95.94,22.9,80.28,20.2,91.24,9.0,119.99,5.4,96.36,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
563,84.0,102.35,10.7,148.87,11.2,93.48,25.5,56.38,50.3,102.24,16.5,111.43,17.0,108.42,7.0,150,4.9,106.19,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
573,82.2,100.16,12.0,132.74,12.2,85.82,13.3,108.09,55.7,92.32,21.1,87.13,21.8,84.54,7.9,136.7,4.0,130.08,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
575,80.5,98.09,15.5,102.77,12.8,81.8,9.8,146.7,58.6,87.76,23.7,77.57,24.3,75.85,9.5,113.68,3.2,150,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
580,81.1,98.82,14.3,111.39,11.3,92.65,13.4,107.29,55.1,93.33,19.9,92.39,20.6,89.47,9.0,119.99,4.6,113.12,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
607,79.7,97.11,17.8,89.49,12.5,83.76,12.3,116.88,53.9,95.41,22.5,81.71,23.1,79.79,11.9,90.75,6.7,77.66,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
615,82.7,100.77,15.2,104.8,10.8,96.94,12.0,119.8,53.9,95.41,21.9,83.95,21.9,84.16,12.0,89.99,5.9,88.19,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
621,80.3,97.85,15.7,101.46,9.3,112.58,12.7,113.2,56.4,91.18,19.1,96.26,20.7,89.04,12.6,85.71,6.4,81.3,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
630,81.5,99.31,15.2,104.8,9.2,113.8,14.6,98.47,53.0,97.03,18.5,99.38,19.4,95.0,9.6,112.49,4.5,115.63,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
657,82.7,100.77,14.9,106.91,8.9,117.64,12.7,113.2,53.1,96.85,23.0,79.94,19.2,95.99,12.2,88.52,5.4,96.36,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
661,82.7,100.77,13.6,117.13,9.8,106.84,14.0,102.69,52.4,98.14,23.8,77.25,22.4,82.28,11.8,91.52,5.8,89.71,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
665,82.1,100.04,12.9,123.48,12.5,83.76,14.3,100.54,56.7,90.7,22.2,82.82,23.5,78.43,8.6,125.57,5.3,98.18,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
671,78.6,95.77,14.7,108.36,14.2,73.73,12.2,117.84,56.7,90.7,25.3,72.67,22.2,83.02,12.0,89.99,4.6,113.12,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
706,83.3,101.5,14.9,106.91,11.7,89.49,17.3,83.1,51.7,99.47,16.2,113.49,21.6,85.33,8.6,125.57,4.6,113.12,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
707,77.8,94.8,14.8,107.63,14.7,71.22,13.5,106.49,61.2,84.03,24.8,74.13,24.8,74.32,9.6,112.49,4.7,110.71,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
710,84.1,102.48,13.7,116.27,9.2,113.8,13.1,109.74,52.7,97.58,18.9,97.28,21.6,85.33,9.0,119.99,4.6,113.12,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
727,81.5,99.31,15.6,102.11,11.2,93.48,14.4,99.84,52.2,98.51,16.3,112.79,20.8,88.61,9.8,110.2,5.0,104.07,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
